YEAR,TRAVEL ARRANGEMENT,Country,Percentage
2016,TOUR PACKAGE,CENTRAL ASIA,20.245398773006134
2016,INDEPENDENT,CENTRAL ASIA,79.75460122699386
2017,TOUR PACKAGE,CENTRAL ASIA,26.639344262295083
2017,INDEPENDENT,CENTRAL ASIA,73.36065573770492
2016,TOUR PACKAGE,OTHER ASEAN,5.405405405405405
2016,INDEPENDENT,OTHER ASEAN,94.5945945945946
2017,TOUR PACKAGE,OTHER ASEAN,64.39459487702179
2017,INDEPENDENT,OTHER ASEAN,35.60540512297821
2016,TOUR PACKAGE,OTHER EAST ASIA,0.0
2016,INDEPENDENT,OTHER EAST ASIA,0.0
2017,TOUR PACKAGE,OTHER EAST ASIA,58.22335979686747
2017,INDEPENDENT,OTHER EAST ASIA,41.776640203132544
2016,TOUR PACKAGE,OTHERS SOUTH ASIA,11.469534050179211
2016,INDEPENDENT,OTHERS SOUTH ASIA,88.5304659498208
2017,TOUR PACKAGE,OTHERS SOUTH ASIA,28.168689910600715
2017,INDEPENDENT,OTHERS SOUTH ASIA,71.8313100893993
2016,TOUR PACKAGE,OTHERS WEST ASIA,10.43956043956044
2016,INDEPENDENT,OTHERS WEST ASIA,89.56043956043956
2017,TOUR PACKAGE,OTHERS WEST ASIA,6.9271693138773145
2017,INDEPENDENT,OTHERS WEST ASIA,93.07283068612269
2016,TOUR PACKAGE,OTHERS AMERICAS,7.645631067961165
2016,INDEPENDENT,OTHERS AMERICAS,92.35436893203884
2017,TOUR PACKAGE,OTHERS AMERICAS,6.490687578770479
2017,INDEPENDENT,OTHERS AMERICAS,93.50931242122952
2016,TOUR PACKAGE,OTHERS EUROPE,14.990328820116055
2016,INDEPENDENT,OTHERS EUROPE,85.00967117988395
2017,TOUR PACKAGE,OTHERS EUROPE,25.131733968590996
2017,INDEPENDENT,OTHERS EUROPE,74.86826603140901
2016,TOUR PACKAGE,OTHERS,14.990328820116053
2016,INDEPENDENT,OTHERS,85.00967117988394
2017,TOUR PACKAGE,OTHERS,24.238395182972464
2017,INDEPENDENT,OTHERS,75.76160481702753
